Year,Tm,WAR,Salary,Position
2000,CHW,0.5,"$250,000",C
2000,DET,,"$200,000",P
2000,MON,-0.1,,P
2000,ARI,0.0,"$13,350,000",P
2000,2TM,0.6,"$260,000",SS
2000,SFG,0.0,"$1,175,000",P
2000,ATL,8.2,"$3,700,000",CF
2000,NYM,-0.1,"$5,366,667",P
2000,NYM,0.1,,P
2000,ATL,5.7,"$4,750,000",3B
2000,MIL,-0.1,,RF
2000,OAK,0.0,"$600,000",P
2000,MIN,1.3,"$225,000",LF
2000,OAK,0.0,,P
2000,MON,-0.8,"$225,000",LF
2000,DET,0.0,"$3,650,000",P
2000,ATL,2.0,"$7,600,000",RF
2000,PHI,-1.2,"$1,000,000",2B
2000,NYY,-0.3,,RF
2000,ATL,0.2,"$3,365,099",1B
2000,LAD,0.1,,P
2000,2TM,5.1,"$7,000,000",LF
2000,2TM,0.0,"$1,850,000",P
2000,Tm,WAR,Salary,
2000,TEX,1.6,"$280,000",CF
2000,CHC,0.1,"$776,000",P
2000,2TM,0.1,"$3,700,000",P
2000,LAD,0.8,"$5,375,000",1B
2000,CLE,0.1,"$1,200,000",P
2000,NYY,,,P
2000,TBD,0.0,,
2000,NYY,-0.5,"$800,000",LF
2000,PIT,4.5,"$2,250,000",C
2000,ANA,0.6,"$202,500",2B
2000,SFG,7.2,"$6,000,000",2B
2000,DET,,,P
2000,CIN,-0.3,,1B
2000,STL,0.1,"$7,417,981",P
2000,ARI,0.0,"$762,500",P
2000,MIL,0.0,,P
2000,BAL,-0.7,"$203,500",CF
2000,2TM,0.0,,1B
2000,MIN,,"$200,000",P
2000,ARI,-0.2,"$215,000",3B
2000,SDP,3.2,"$5,750,000",1B
2000,MON,0.0,"$355,000",P
2000,NYY,0.3,"$6,000,000",2B
2000,TEX,0.2,,C
2000,TOR,0.0,"$333,333",P
2000,Tm,WAR,Salary,
2000,BAL,0.0,"$200,000",P
2000,SDP,0.1,,P
2000,TEX,,,P
2000,CHW,1.4,"$305,000",1B
2000,MIN,2.9,"$245,000",3B
2000,FLA,2.4,"$324,000",RF
2000,LAD,2.1,"$500,000",C
2000,NYM,0.0,,3B
2000,TEX,-1.0,,3B
2000,SEA,0.7,"$950,000",C
2000,STL,1.0,"$7,600,000",LF
2000,2TM,-1.4,"$6,250,000",2B
2000,MON,0.0,,P
2000,2TM,0.0,,P
2000,CIN,2.6,"$5,300,000",SS
2000,SDP,-0.4,,3B
2000,CIN,0.1,,C
2000,MIN,2.4,"$2,000,000",RF
2000,KCR,,,P
2000,MIN,-1.1,"$200,000",C
2000,3TM,-0.4,"$240,000",LF
2000,COL,-0.2,"$525,000",3B
2000,CHW,2.5,"$275,000",LF
2000,COL,0.0,"$222,500",P
2000,FLA,2.0,"$225,000",1B
2000,Tm,WAR,Salary,
2000,BOS,,,P
2000,2TM,0.4,"$500,000",1B
2000,NYM,-0.5,"$7,750,000",P
2000,SEA,0.3,,1B
2000,MIL,0.0,"$1,450,000",P
2000,ANA,0.0,"$275,000",P
2000,MIL,-0.1,,P
2000,BOS,0.0,"$2,400,000",CF
2000,2TM,-0.5,"$600,000",3B
2000,2TM,-0.8,"$1,000,000",1B
2000,TBD,0.0,,P
2000,CHC,0.2,"$3,833,333",P
