title,division,conference,state,location,link,roster_link
Saint Louis University,D1,Atlantic 10,MO,"St. Louis, MO",http://www.slubillikens.com/SportSelect.dbml?DB_OEM_ID=27200&SPID=93212&SPSID=632622&DB_OEM_ID=27200,http://www.slubillikens.com/sports/baseball/roster
Saint Mary's College of California,D1,West Coast,CA,"Moraga, CA",https://smcgaels.com/index.aspx?path=baseball,https://smcgaels.com/sports/baseball/roster
Saint Peter's University,D1,Metro Atlantic,NJ,"Jersey City, NJ",https://saintpeterspeacocks.com/index.aspx?path=baseball,https://saintpeterspeacocks.com/sports/baseball/roster
Sam Houston State University,D1,Southland,TX,"Huntsville, TX",http://www.gobearkats.com/SportSelect.dbml?DB_OEM_ID=19900&SPID=11355&KEY=,http://www.gobearkats.com/sports/baseball/roster
Samford University,D1,Southern,AL,"Birmingham, AL",https://samfordsports.com/index.aspx?path=baseball,https://samfordsports.com/sports/baseball/roster
San Diego State University,D1,Mountain West,CA,"San Diego, CA",https://goaztecs.com/index.aspx?path=baseball,https://goaztecs.com/sports/baseball/roster
San Jose State University,D1,Mountain West,CA,"San Jose, CA",https://sjsuspartans.com/index.aspx?path=baseball,https://sjsuspartans.com/sports/baseball/roster
Santa Clara University,D1,West Coast,CA,"Santa Clara, CA",https://www.santaclarabroncos.com/sports/m-basebl/index,https://www.santaclarabroncos.com/sports/m-basebl/2020-21/roster
Seattle University,D1,Western Athletic,WA,"Seattle, WA",http://www.goseattleu.com/SportSelect.dbml?DB_OEM_ID=18200&SPID=11610&KEY=,http://www.goseattleu.com/sports/baseball/roster
Seton Hall University,D1,Big East,NJ,"South Orange, NJ",https://shupirates.com/index.aspx?path=baseball,https://shupirates.com/sports/baseball/roster
Siena College,D1,Metro Atlantic,NY,"Loudonville, NY",https://sienasaints.com/index.aspx?path=baseball,https://sienasaints.com/sports/baseball/roster
South Dakota State University,D1,Summit League,SD,"Brookings, SD",https://gojacks.com/index.aspx?path=baseball,https://gojacks.com/sports/baseball/roster
Southeast Missouri State University,D1,Ohio Valley,MO,"Cape Girardeau, MO",https://gosoutheast.com/index.aspx?path=baseball,https://gosoutheast.com/sports/baseball/roster
Southeastern Louisiana University,D1,Southland,LA,"Hammond, LA",https://lionsports.net/index.aspx?path=baseball,https://lionsports.net/sports/baseball/roster
Southern Illinois University Edwardsville,D1,Ohio Valley,IL,"Edwardsville, IL",https://www.siuecougars.com/sports/m-basebl/index,https://www.siuecougars.com/sports/m-basebl/2020-21/roster
Southern Illinois University at Carbondale,D1,Missouri Valley,IL,"Carbondale, IL",https://siusalukis.com/index.aspx?path=baseball,https://siusalukis.com/sports/baseball/roster
Southern University,D1,Southwestern,LA,"Baton Rouge, LA",http://www.gojagsports.com/SportSelect.dbml?DB_LANG=C&DB_OEM_ID=28100&SPID=96913&SPSID=641646,http://www.gojagsports.com/sports/baseball/roster
St. Bonaventure University,D1,Atlantic 10,NY,"Allegany, NY",https://gobonnies.sbu.edu/sports/m-basebl/index,https://gobonnies.sbu.edu/sports/m-basebl/2020-21/roster
St. John's University,D1,Big East,NY,"Queens, NY",https://redstormsports.com/index.aspx?path=baseball,https://redstormsports.com/sports/baseball/roster
Stanford University,D1,Pac-12,CA,"Stanford, CA",https://gostanford.com/index.aspx?path=bsb,https://gostanford.com/sports/baseball/roster
Stephen F. Austin State University,D1,Southland,TX,"Nacogdoches, TX",https://sfajacks.com/index.aspx?path=baseball,https://sfajacks.com/sports/baseball/roster
Stetson University,D1,ASUN,FL,"DeLand, FL",https://gohatters.com/index.aspx?path=baseball,https://gohatters.com/sports/baseball/roster
Stony Brook University,D1,America East,NY,"Stony Brook, NY",https://stonybrookathletics.com/index.aspx?path=baseball,https://stonybrookathletics.com/sports/baseball/roster
Tarleton State University,D1,Western Athletic,TX,"Stephenville, TX",https://tarletonsports.com/sports/baseball,https://tarletonsports.com/sports/baseball/roster
Tennessee Technological University,D1,Ohio Valley,TN,"Cookeville, TN",https://www.ttusports.com/sports/bsb/index,https://www.ttusports.com/sports/bsb/2020-21/roster
Texas A&M University,D1,SEC,TX,"College Station, TX",https://12thman.com/index.aspx?path=baseball,https://12thman.com/sports/baseball/roster
"Texas A&M University, Corpus Christi",D1,Southland,TX,"Corpus Christi, TX",https://goislanders.com/index.aspx?path=baseball,https://goislanders.com/sports/baseball/roster
